iter	Passed	Remaining
0	142	142033
1	142	71304
2	143	47644
3	143	35806
4	144	28698
5	144	23960
6	145	20576
7	145	18062
8	146	16091
9	146	14522
10	147	13238
11	147	12163
12	148	11252
13	148	10474
14	149	9796
15	149	9209
16	150	8705
17	151	8241
18	151	7822
19	151	7443
20	152	7107
21	152	6798
22	154	6548
23	155	6309
24	155	6071
25	156	5848
26	156	5640
27	156	5446
28	157	5265
29	157	5099
30	158	4960
31	159	4818
32	159	4681
33	160	4551
34	160	4428
35	161	4311
36	161	4200
37	161	4096
38	162	4015
39	163	3922
40	163	3833
41	164	3748
42	164	3672
43	165	3594
44	165	3522
45	166	3450
46	167	3394
47	167	3330
48	168	3268
49	168	3208
50	169	3151
51	169	3095
52	170	3040
53	170	2988
54	171	2938
55	171	2890
56	171	2845
57	172	2800
58	172	2757
59	173	2714
60	173	2673
61	174	2632
62	174	2594
63	174	2556
64	175	2520
65	175	2485
66	176	2451
67	176	2419
68	177	2388
69	177	2357
70	177	2327
71	178	2297
72	178	2268
73	179	2240
74	179	2213
75	180	2197
76	181	2172
77	181	2147
78	182	2124
79	182	2100
80	183	2078
81	183	2056
82	183	2032
83	184	2011
84	184	1991
85	185	1972
86	186	1952
87	186	1932
88	186	1913
89	187	1894
90	187	1876
91	188	1858
92	188	1841
93	189	1824
94	189	1807
95	190	1791
96	190	1775
97	191	1759
98	191	1743
99	191	1727
100	192	1712
101	192	1697
102	193	1684
103	194	1671
104	194	1658
105	195	1645
106	195	1631
107	195	1618
108	196	1604
109	196	1591
110	197	1579
111	197	1566
112	198	1554
113	198	1542
114	198	1531
115	199	1520
116	199	1508
117	200	1497
118	200	1486
119	201	1475
120	201	1464
121	201	1453
122	202	1443
123	203	1434
124	203	1424
125	203	1414
126	204	1404
127	204	1394
128	205	1385
129	205	1375
130	206	1367
131	206	1358
132	207	1352
133	207	1344
134	208	1335
135	208	1326
136	209	1318
137	209	1309
138	210	1301
139	210	1292
140	210	1285
141	211	1276
142	211	1269
143	212	1261
144	212	1253
145	212	1245
146	213	1238
147	213	1230
148	214	1222
149	214	1215
150	214	1208
151	215	1201
152	215	1195
153	216	1188
154	216	1181
155	217	1175
156	217	1168
157	217	1161
158	218	1154
159	218	1148
160	218	1140
161	219	1134
162	219	1129
163	220	1123
164	222	1126
165	223	1122
166	225	1126
167	226	1121
168	226	1115
169	227	1110
170	227	1104
171	228	1100
172	230	1100
173	231	1097
174	231	1091
175	231	1085
176	232	1080
177	232	1074
178	233	1072
179	234	1066
180	234	1062
181	235	1057
182	235	1052
183	236	1046
184	236	1041
185	236	1036
186	237	1032
187	237	1027
188	238	1022
189	238	1018
190	239	1013
191	239	1009
192	240	1004
193	240	999
194	241	995
195	241	990
196	241	985
197	242	981
198	242	977
199	243	972
200	243	968
201	244	964
202	244	960
203	244	955
204	245	951
205	245	947
206	246	942
207	246	938
208	247	934
209	247	931
210	248	927
211	248	923
212	248	919
213	249	915
214	249	912
215	250	908
216	250	904
217	251	901
218	251	897
219	252	893
220	252	890
221	252	886
222	253	882
223	253	879
224	254	875
225	254	871
226	254	868
227	255	864
228	255	861
229	256	858
230	256	855
231	257	851
232	257	848
233	257	844
234	258	841
235	258	837
236	259	834
237	259	831
238	260	828
239	260	825
240	261	822
241	261	819
242	262	816
243	262	813
244	263	810
245	263	807
246	264	804
247	264	802
248	265	799
249	265	796
250	265	793
251	266	791
252	267	788
253	267	786
254	268	783
255	268	780
256	269	777
257	269	775
258	270	772
259	270	770
260	271	767
261	271	764
262	271	761
263	272	759
264	272	756
265	273	754
266	273	751
267	274	748
268	274	746
269	275	743
270	275	741
271	276	738
272	276	736
273	276	733
274	277	731
275	277	728
276	278	726
277	278	724
278	279	721
279	279	719
280	280	716
281	280	714
282	280	711
283	281	709
284	281	707
285	282	704
286	282	702
287	283	700
288	283	697
289	283	695
290	284	692
291	285	691
292	285	689
293	286	687
294	286	685
295	287	683
296	287	681
297	288	678
298	288	677
299	289	675
300	289	672
301	290	670
302	290	668
303	291	666
304	291	664
305	292	662
306	292	660
307	292	658
308	293	655
309	293	653
310	294	651
311	294	649
312	294	647
313	295	644
314	295	642
315	296	640
316	296	638
317	296	636
318	297	634
319	297	632
320	297	630
321	298	628
322	298	626
323	299	623
324	299	622
325	299	620
326	300	618
327	300	616
328	301	614
329	301	612
330	301	610
331	302	608
332	302	606
333	303	604
334	303	602
335	304	600
336	304	599
337	304	597
338	305	595
339	305	593
340	306	591
341	306	589
342	306	587
343	307	585
344	307	583
345	307	582
346	308	580
347	308	578
348	309	576
349	309	575
350	310	573
351	310	571
352	310	569
353	311	567
354	311	565
355	311	564
356	312	562
357	312	560
358	313	559
359	313	557
360	313	555
361	314	553
362	314	552
363	315	550
364	315	548
365	315	547
366	316	545
367	316	543
368	317	542
369	317	541
370	318	539
371	318	537
372	318	536
373	319	534
374	319	532
375	320	531
376	320	529
377	320	528
378	321	526
379	321	524
380	322	523
381	322	521
382	322	520
383	323	518
384	323	517
385	324	515
386	324	513
387	324	512
388	325	510
389	325	509
390	325	507
391	326	506
392	326	504
393	327	503
394	327	501
395	328	500
396	328	498
397	328	497
398	329	495
399	329	494
400	329	492
401	330	491
402	330	490
403	331	488
404	331	487
405	332	485
406	332	484
407	332	482
408	333	481
409	333	479
410	333	478
411	334	477
412	334	475
413	335	474
414	335	473
415	336	471
416	336	470
417	336	468
418	337	467
419	337	466
420	337	464
421	338	463
422	338	461
423	339	460
424	339	459
425	339	457
426	340	456
427	340	455
428	341	453
429	341	452
430	341	451
431	342	449
432	342	448
433	342	447
434	343	445
435	343	444
436	344	443
437	344	442
438	345	441
439	345	439
440	345	438
441	346	437
442	346	435
443	347	434
444	347	433
445	347	432
446	348	431
447	348	429
448	349	428
449	349	427
450	350	426
451	350	425
452	351	423
453	351	422
454	351	421
455	352	420
456	352	419
457	353	418
458	353	417
459	354	415
460	354	414
461	355	413
462	355	412
463	355	411
464	356	410
465	356	408
466	357	407
467	357	406
468	358	405
469	358	404
470	359	403
471	359	402
472	360	401
473	360	399
474	360	398
475	361	397
476	361	396
477	362	395
478	362	394
479	363	393
480	363	392
481	364	391
482	364	390
483	365	389
484	365	388
485	366	387
486	366	386
487	367	385
488	367	383
489	367	382
490	368	381
491	368	380
492	368	379
493	369	378
494	369	377
495	370	376
496	370	375
497	371	374
498	371	373
499	371	371
500	372	370
501	372	369
502	373	368
503	373	367
504	374	366
505	374	365
506	374	364
507	375	363
508	375	362
509	376	361
510	376	360
511	377	359
512	377	358
513	377	357
514	378	356
515	378	355
516	379	354
517	380	353
518	380	352
519	380	351
520	381	350
521	381	349
522	382	348
523	382	347
524	382	346
525	383	345
526	383	344
527	384	343
528	384	342
529	385	341
530	385	340
531	386	339
532	386	338
533	387	337
534	387	336
535	388	335
536	388	335
537	388	334
538	389	333
539	389	331
540	390	330
541	390	329
542	390	328
543	391	327
544	391	326
545	392	326
546	392	325
547	393	324
548	393	323
549	394	322
550	394	321
551	395	320
552	395	319
553	395	318
554	396	317
555	396	316
556	397	316
557	397	315
558	398	314
559	399	313
560	399	312
561	399	311
562	400	310
563	401	310
564	401	309
565	402	308
566	402	307
567	403	306
568	403	305
569	403	304
570	404	303
571	404	302
572	405	301
573	405	301
574	406	300
575	407	299
576	407	298
577	408	297
578	408	297
579	408	296
580	409	295
581	409	294
582	410	293
583	410	292
584	411	291
585	411	290
586	412	289
587	412	288
588	412	288
589	413	287
590	413	286
591	414	285
592	414	284
593	414	283
594	415	282
595	415	281
596	416	281
597	416	280
598	417	279
599	417	278
600	418	277
601	418	276
602	419	276
603	419	275
604	420	274
605	420	273
606	421	272
607	421	271
608	422	270
609	422	270
610	422	269
611	423	268
612	423	267
613	424	266
614	424	265
615	425	265
616	425	264
617	426	263
618	426	262
619	427	261
620	427	261
621	428	260
622	428	259
623	429	258
624	429	257
625	430	257
626	430	256
627	431	255
628	431	254
629	431	253
630	432	252
631	433	252
632	433	251
633	434	250
634	434	249
635	435	249
636	435	248
637	436	247
638	436	246
639	437	245
640	437	245
641	438	244
642	438	243
643	439	242
644	439	241
645	440	241
646	440	240
647	441	239
648	441	238
649	442	238
650	442	237
651	443	236
652	443	235
653	444	234
654	444	234
655	444	233
656	445	232
657	445	231
658	446	230
659	446	230
660	447	229
661	447	228
662	448	227
663	448	226
664	448	226
665	449	225
666	449	224
667	450	223
668	450	223
669	451	222
670	452	221
671	452	220
672	453	220
673	453	219
674	454	218
675	454	218
676	455	217
677	456	216
678	456	215
679	457	215
680	457	214
681	457	213
682	458	212
683	458	212
684	459	211
685	459	210
686	460	209
687	460	208
688	461	208
689	461	207
690	461	206
691	462	205
692	462	205
693	463	204
694	463	203
695	464	202
696	464	201
697	464	201
698	465	200
699	465	199
700	466	198
701	466	198
702	467	197
703	467	196
704	468	195
705	468	195
706	469	194
707	469	193
708	470	193
709	470	192
710	471	191
711	472	190
712	472	190
713	473	189
714	473	188
715	473	187
716	474	187
717	474	186
718	475	185
719	475	185
720	476	184
721	476	183
722	477	182
723	477	182
724	477	181
725	478	180
726	478	179
727	479	179
728	479	178
729	480	177
730	480	176
731	481	176
732	481	175
733	482	174
734	482	173
735	483	173
736	483	172
737	483	171
738	484	171
739	484	170
740	485	169
741	485	168
742	486	168
743	486	167
744	487	166
745	487	166
746	488	165
747	488	164
748	489	163
749	489	163
750	490	162
751	491	161
752	491	161
753	491	160
754	492	159
755	492	159
756	493	158
757	494	157
758	495	157
759	495	156
760	496	155
761	496	155
762	496	154
763	497	153
764	497	152
765	498	152
766	498	151
767	499	150
768	499	150
769	500	149
770	500	148
771	501	148
772	501	147
773	502	146
774	502	145
775	503	145
776	503	144
777	504	143
778	504	143
779	505	142
780	505	141
781	505	141
782	506	140
783	506	139
784	507	138
785	507	138
786	508	137
787	509	137
788	510	136
789	510	135
790	511	135
791	512	134
792	513	133
793	514	133
794	514	132
795	515	132
796	516	131
797	516	130
798	517	130
799	518	129
800	518	128
801	519	128
802	521	127
803	522	127
804	523	126
805	523	126
806	524	125
807	524	124
808	525	123
809	525	123
810	526	122
811	526	121
812	526	121
813	527	120
814	527	119
815	528	119
816	529	118
817	529	117
818	530	117
819	530	116
820	531	115
821	531	115
822	532	114
823	532	113
824	533	113
825	533	112
826	534	111
827	535	111
828	535	110
829	536	109
830	536	109
831	537	108
832	538	107
833	538	107
834	539	106
835	539	105
836	540	105
837	541	104
838	542	104
839	542	103
840	543	102
841	543	102
842	544	101
843	544	100
844	545	100
845	545	99
846	546	98
847	547	98
848	547	97
849	548	96
850	548	96
851	549	95
852	550	94
853	550	94
854	551	93
855	552	92
856	552	92
857	553	91
858	553	90
859	554	90
860	554	89
861	555	88
862	555	88
863	556	87
864	556	86
865	557	86
866	557	85
867	558	84
868	558	84
869	559	83
870	560	82
871	560	82
872	561	81
873	561	80
874	562	80
875	562	79
876	563	78
877	563	78
878	564	77
879	564	77
880	565	76
881	565	75
882	566	75
883	566	74
884	567	73
885	567	73
886	568	72
887	568	71
888	569	71
889	569	70
890	570	69
891	570	69
892	571	68
893	571	67
894	572	67
895	572	66
896	573	65
897	573	65
898	574	64
899	574	63
900	575	63
901	575	62
902	576	61
903	576	61
904	577	60
905	577	59
906	578	59
907	578	58
908	579	57
909	579	57
910	580	56
911	580	56
912	580	55
913	581	54
914	581	54
915	582	53
916	582	52
917	583	52
918	583	51
919	584	50
920	584	50
921	585	49
922	585	48
923	586	48
924	586	47
925	587	46
926	587	46
927	587	45
928	588	44
929	588	44
930	589	43
931	589	43
932	590	42
933	591	41
934	591	41
935	592	40
936	592	39
937	593	39
938	593	38
939	594	37
940	594	37
941	595	36
942	595	36
943	596	35
944	597	34
945	597	34
946	598	33
947	600	32
948	601	32
949	601	31
950	602	31
951	602	30
952	603	29
953	603	29
954	604	28
955	604	27
956	605	27
957	605	26
958	606	25
959	607	25
960	607	24
961	610	24
962	611	23
963	612	22
964	612	22
965	613	21
966	613	20
967	614	20
968	614	19
969	615	19
970	616	18
971	616	17
972	618	17
973	619	16
974	620	15
975	620	15
976	620	14
977	621	13
978	622	13
979	623	12
980	623	12
981	624	11
982	624	10
983	625	10
984	625	9
985	626	8
986	627	8
987	627	7
988	628	6
989	628	6
990	629	5
991	630	5
992	632	4
993	632	3
994	633	3
995	634	2
996	635	1
997	635	1
998	636	0
999	636	0
